876,2510,359
1983,3085,342
2612,114,2103
282,2364,917
2822,2428,3055
466,1804,1906
-1,-1,-1
1024,1306,2035
-1,-1,-1
801,746,921
1014,2567,781
-1,-1,-1
846,2547,2574
1733,2843,2320
2170,1805,2385
1004,2687,1596
-1,-1,-1
693,221,1648
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
292,751,2069
2427,318,1763
1139,250,2483
84,1138,1210
-1,-1,-1
-1,-1,-1
-1,-1,-1
1746,1583,330
-1,-1,-1
-1,-1,-1
1721,1427,2463
-1,-1,-1
-1,-1,-1
759,2534,821
2126,887,1908
-1,-1,-1
2410,1359,2196
2540,2854,2194
-1,-1,-1
3072,2154,2078
-1,-1,-1
850,366,2873
-1,-1,-1
-1,-1,-1
2938,794,1786
1392,1013,1815
-1,-1,-1
819,1768,437
2418,1030,770
408,3148,674
-1,-1,-1
2985,659,872
938,2033,3063
336,1453,123
3176,2190,2086
645,866,2479
-1,-1,-1
-1,-1,-1
-1,-1,-1
156,752,1294
2477,490,2225
2359,1783,1950
-1,-1,-1
-1,-1,-1
-1,-1,-1
823,859,71
2260,1022,1588
1669,987,790
1224,1882,2136
-1,-1,-1
2444,737,2302
1716,1632,1814
2944,1045,997
-1,-1,-1
181,133,883
-1,-1,-1
1201,2219,397
-1,-1,-1
-1,-1,-1
2268,2628,870
-1,-1,-1
1029,2844,1215
-1,-1,-1
-1,-1,-1
487,3075,1161
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
620,1284,891
-1,-1,-1
-1,-1,-1
-1,-1,-1
1903,2109,501
