-1,-1,-1
1691,1145,638
1533,331,1080
-1,-1,-1
1229,611,2070
1065,1628,99
1751,1238,1724
1904,1294,1816
895,1505,265
-1,-1,-1
1065,1543,1514
-1,-1,-1
1755,640,1446
-1,-1,-1
503,1548,246
-1,-1,-1
616,225,1696
-1,-1,-1
-1,-1,-1
1112,1376,1350
1956,1056,422
1509,688,605
-1,-1,-1
873,884,760
1985,295,1609
123,1432,1604
1228,1200,1601
1289,1652,1006
1509,396,1786
-1,-1,-1
302,1601,999
1552,1641,259
-1,-1,-1
-1,-1,-1
67,804,156
-1,-1,-1
389,676,130
-1,-1,-1
-1,-1,-1
-1,-1,-1
648,1816,510
-1,-1,-1
-1,-1,-1
1558,1026,1007
-1,-1,-1
1510,1930,1709
924,2041,1331
577,641,895
-1,-1,-1
286,377,1970
1210,149,727
-1,-1,-1
-1,-1,-1
-1,-1,-1
2008,60,1800
2068,37,1514
1777,1840,718
1693,204,1597
1426,1735,1762
650,883,1411
1791,649,493
-1,-1,-1
-1,-1,-1
-1,-1,-1
1761,1680,143
-1,-1,-1
-1,-1,-1
1108,1098,1394
-1,-1,-1
-1,-1,-1
1055,1558,1985
1228,1200,1601
-1,-1,-1
962,1295,1874
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1294,1008,1140
1376,1345,1483
1189,478,1129
971,1570,496
-1,-1,-1
2061,432,1539
-1,-1,-1
1919,1022,698
1470,891,198
-1,-1,-1
-1,-1,-1
896,345,32
313,678,21
1807,307,375
1212,265,1505
-1,-1,-1
653,1785,556
1245,506,266
1084,301,1556
1173,1733,269
-1,-1,-1
