2085,196,724
2022,806,1909
-1,-1,-1
-1,-1,-1
-1,-1,-1
2485,853,1094
2021,472,2262
-1,-1,-1
2227,211,1943
1518,2417,987
-1,-1,-1
461,1522,45
1943,2527,1400
1682,210,446
31,1518,2533
-1,-1,-1
2046,478,2263
-1,-1,-1
395,2491,2458
-1,-1,-1
2565,1656,1296
1108,1022,128
1693,2545,2074
2419,2234,810
-1,-1,-1
1699,623,410
-1,-1,-1
695,897,2295
-1,-1,-1
-1,-1,-1
-1,-1,-1
1592,1257,2440
-1,-1,-1
173,1869,889
465,826,1576
-1,-1,-1
1881,1263,534
-1,-1,-1
-1,-1,-1
2435,91,535
2217,403,1306
661,2438,542
-1,-1,-1
2028,2140,272
1295,1798,2004
1524,1045,2539
1090,240,1942
2274,932,1028
2405,892,485
1048,174,50
-1,-1,-1
-1,-1,-1
110,2142,1380
-1,-1,-1
-1,-1,-1
-1,-1,-1
2573,537,1896
1951,374,159
1174,1684,499
-1,-1,-1
480,1523,1871
814,807,273
-1,-1,-1
870,1507,1980
227,1869,417
1498,1680,2272
-1,-1,-1
-1,-1,-1
877,899,1219
1688,2072,575
-1,-1,-1
-1,-1,-1
-1,-1,-1
710,114,1968
1781,67,190
-1,-1,-1
-1,-1,-1
-1,-1,-1
1144,2493,1303
-1,-1,-1
-1,-1,-1
1479,349,1638
2457,1443,854
1690,2040,46
1729,1299,2176
2054,1918,2403
410,2187,2113
-1,-1,-1
-1,-1,-1
-1,-1,-1
1073,2232,14
-1,-1,-1
-1,-1,-1
-1,-1,-1
1338,916,1200
1321,1230,1513
1275,2039,428
655,545,124
2503,1204,2119
390,2507,221
