346,347,355
660,677,683
-1,-1,-1
1095,1098,1107
653,656,658
938,959,960
620,623,625
2598,2607,2623
1010,1014,1015
2050,2078,2079
1721,1735,1736
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
595,599,609
1554,1556,1558
1525,1534,1535
118,134,141
-1,-1,-1
1660,1661,1667
1580,1594,1596
2167,2175,2185
-1,-1,-1
2560,2566,2574
-1,-1,-1
-1,-1,-1
1029,1034,1035
-1,-1,-1
2114,2123,2126
1810,1813,1822
575,579,588
1954,1985,1986
-1,-1,-1
198,199,213
-1,-1,-1
1036,1037,1077
2164,2168,2173
1301,1317,1374
1857,1887,1891
-1,-1,-1
219,226,231
-1,-1,-1
630,631,651
-1,-1,-1
-1,-1,-1
924,935,953
1395,1402,1414
2291,2299,2305
-1,-1,-1
2567,2576,2580
252,358,402
-1,-1,-1
2308,2324,2330
176,181,196
-1,-1,-1
1297,1318,1332
520,533,558
27,59,63
1544,1615,1645
220,235,252
1997,2007,2009
-1,-1,-1
364,365,374
1254,1268,1279
2506,2519,2543
-1,-1,-1
2394,2543,2555
-1,-1,-1
2550,2554,2557
51,52,66
1872,1911,1924
-1,-1,-1
-1,-1,-1
2349,2356,2360
-1,-1,-1
2224,2233,2237
889,902,903
-1,-1,-1
1705,1707,1708
1743,1749,1773
-1,-1,-1
869,913,921
1174,1189,1199
-1,-1,-1
1656,1701,1711
2654,2672,2675
2157,2161,2176
2029,2032,2041
1796,1804,1810
776,794,806
1772,1776,1780
888,895,907
2089,2197,2640
1419,1460,1506
-1,-1,-1
2536,2541,2545
859,873,877
2048,2051,2064
2029,2031,2032
