-1 , -1 , -1
-1 , -1 , -1
-1 , -1 , -1
-1 , -1 , -1
-1 , -1 , -1
-1 , -1 , -1
1255 , 1867 , 480
2580 , 2689 , 2495
1393 , 1957 , 1135
1086 , 922 , 759
1970 , 1785 , 2539
455 , 124 , 455
859 , 1162 , 1246
664 , 290 , 844
1299 , 1475 , 828
940 , 185 , 179
-1 , -1 , -1
-1 , -1 , -1
799 , 475 , 172
1143 , 627 , 1617
2521 , 2561 , 2557
-1 , -1 , -1
-1 , -1 , -1
-1 , -1 , -1
966 , 966 , 663
-1 , -1 , -1
1476 , 1839 , 1774
2268 , 2416 , 2334
1901 , 2732 , 1742
-1 , -1 , -1
1009 , 1423 , 1101
-1 , -1 , -1
1783 , 1667 , 2607
2248 , 2355 , 2005
-1 , -1 , -1
-1 , -1 , -1
806 , 420 , 1110
2508 , 2624 , 2566
457 , 691 , 345
-1 , -1 , -1
-1 , -1 , -1
776 , 721 , 776
-1 , -1 , -1
-1 , -1 , -1
2171 , 2315 , 2718
-1 , -1 , -1
-1 , -1 , -1
182 , 222 , 17
657 , 800 , 204
1031 , 148 , 453
276 , 332 , 315
-1 , -1 , -1
-1 , -1 , -1
1376 , 1958 , 1287
-1 , -1 , -1
2249 , 2606 , 2234
2623 , 2637 , 2674
1610 , 1610 , 2213
1021 , 299 , 132
1801 , 2210 , 1287
214 , 107 , 166
1184 , 644 , 1443
-1 , -1 , -1
-1 , -1 , -1
-1 , -1 , -1
1452 , 1984 , 1753
1414 , 1701 , 1245
-1 , -1 , -1
1533 , 2284 , 984
1540 , 1448 , 2297
-1 , -1 , -1
280 , 129 , 353
1471 , 1471 , 1379
-1 , -1 , -1
1505 , 1752 , 1224
-1 , -1 , -1
131 , 129 , 191
-1 , -1 , -1
850 , 850 , 894
-1 , -1 , -1
-1 , -1 , -1
1564 , 1999 , 925
-1 , -1 , -1
2397 , 2205 , 2444
-1 , -1 , -1
2621 , 2713 , 0
1998 , 1998 , 1836
-1 , -1 , -1
-1 , -1 , -1
-1 , -1 , -1
379 , 108 , 65
-1 , -1 , -1
-1 , -1 , -1
2675 , 2717 , 2667
1312 , 1376 , 1958
417 , 544 , 312
1845 , 1845 , 2644
2541 , 2657 , 2551
2387 , 2243 , 2378
2131 , 2275 , 2615
